Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.012600,0.000000,0
Solver,2.031100,16.308027,3.31232e+07
Richards Exclude 1st Time Step,1.697200,15.975540,2.71137e+07
Solver Cleanup,0.001200,0.000000,0
Matvec,0.000000,0.000000,0
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.623500,0.000000,0
CLM,0.000900,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.070900,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.062800,0.000000,0
SubsrfSim,0.000000,0.000000,0
Porosity,0.000000,0.000000,0
PhaseRelPerm,0.054200,0.025055,1358
PFMG,0.040900,0.000000,0
HYPRE_Copies,0.040800,0.000000,0
NL_F_Eval,0.687900,0.001625,1118
KINSol,1.092600,30.315974,3.31232e+07
Total Runtime,2.139500,-nan,0
